Date,Volume
1409223873000,454
1409223882000,460
1409223892000,457
1409223901000,457
1409223912000,478
1409223923000,455
1409223931000,455
1409223942000,451
1409223951000,461
1409223961000,461
1409223975000,457
1409223983000,459
1409223991000,459
1409224000000,464
1409224024000,458
1409224031000,449
1409224044000,446
1409224053000,446
1409224064000,445
1409224073000,445
1409224084000,445
1409224091000,445
1409224103000,446
1409224113000,446
1409224122000,444
1409224132000,443
1409224152000,444
1409224162000,444
1409224173000,444
1409224183000,443
1409224194000,444
1409224202000,444
1409224211000,446
1409224223000,442
1409224233000,442
1409224246000,443
1409224255000,444
1409224262000,444
1409224271000,445
1409224282000,443
1409224294000,443
1409224303000,443
1409224311000,445
1409224322000,445
1409224342000,445
1409224354000,445
1409224361000,443
1409224372000,444
1409224383000,444
1409224393000,444
1409224401000,443
1409224412000,443
1409224422000,442
1409224433000,443
1409224451000,443
1409224471000,443
1409224486000,462
1409224492000,444
1409224503000,444
1409224512000,444
1409224522000,442
1409224531000,442
1409224541000,445
1409224554000,444
1409224562000,444
1409224572000,443
1409224582000,447
1409224593000,447
1409224603000,454
1409224612000,451
1409224621000,451
1409224634000,452
1409224643000,450
1409224654000,450
1409224661000,631
1409224673000,636
1409224681000,636
1409224691000,628
1409224704000,617
1409224712000,617
1409224723000,608
1409224732000,606
1409224745000,606
1409224753000,604
1409224763000,605
1409224773000,605
1409224794000,605
1409224801000,605
1409224812000,604
1409224825000,604
1409224833000,604
1409224844000,609
1409224853000,615
1409224861000,615
1409224873000,613
1409224884000,621
1409224890000,621
1409224901000,621
1409224913000,605
1409224924000,605
1409224945000,607
1409224962000,606
1409224971000,604
1409224985000,604
1409224993000,603
1409225002000,606
1409225013000,606
1409225021000,603
1409225031000,601
1409225045000,601
1409225053000,600
1409225061000,598
1409225073000,598
1409225085000,615
1409225091000,599
1409225112000,598
1409225121000,599
1409225133000,599
1409225141000,600
1409225150000,599
1409225164000,599
1409225176000,599
1409225182000,598
1409225194000,598
1409225202000,597
1409225219000,601
1409225222000,601
1409225232000,598
1409225241000,603
1409225253000,603
1409225262000,603
1409225282000,604
1409225292000,616
1409225300000,601
1409225312000,601
1409225325000,599
1409225331000,597
1409225343000,597
1409225352000,594
1409225362000,596
1409225373000,596
1409225384000,596
1409225392000,594
1409225415000,592
1409225431000,594
1409225444000,594
1409225452000,597
1409225462000,597
1409225473000,598
1409225483000,606
1409225492000,606
1409225502000,595
1409225513000,596
1409225523000,596
1409225531000,592
1409225543000,594
1409225561000,589
1409225571000,593
1409225581000,593
1409225592000,594
1409225603000,593
1409225614000,593
1409225622000,592
1409225631000,593
1409225644000,593
1409225651000,593
1409225662000,592
1409225672000,592
1409225692000,595
1409225705000,595
1409225714000,592
1409225722000,593
1409225733000,593
1409225745000,590
1409225752000,593
1409225762000,593
1409225772000,594
1409225785000,596
1409225793000,596
1409225805000,586
1409225813000,592
1409225822000,592
1409225833000,592
1409225841000,592
1409225852000,592
1409225862000,592
1409225872000,593
1409225882000,593
1409225892000,591
1409225901000,590
1409225912000,590
1409225921000,591
1409225932000,592
1409225943000,592
1409225954000,591
1409225963000,590
1409225970000,590
1409225993000,591
1409226004000,591
1409226012000,591
1409226023000,589
1409226031000,589
1409226044000,587
1409226052000,588
1409226063000,588
1409226071000,595
1409226082000,592
1409226092000,592
1409226102000,589
1409226122000,588
1409226142000,591
1409226153000,591
1409226162000,591
1409226174000,588
1409226181000,588
1409226193000,587
1409226203000,440
1409226211000,440
1409226225000,439
1409226233000,438
1409226243000,438
1409226251000,440
1409226262000,439
1409226273000,439
1409226291000,442
1409226302000,442
1409226312000,439
1409226323000,439
1409226335000,439
1409226342000,440
1409226351000,441
1409226363000,441
1409226374000,438
1409226382000,440
1409226391000,440
1409226401000,439
1409226414000,440
1409226425000,440
1409226433000,438
1409226443000,439
1409226453000,439
1409226462000,439
1409226471000,440
1409226483000,440
1409226491000,439
1409226503000,440
1409226514000,440
1409226523000,440
1409226535000,438
1409226542000,438
1409226552000,439
1409226562000,441
1409226574000,441
1409226585000,440
1409226594000,441
1409226612000,438
1409226626000,442
1409226636000,442
1409226641000,439
1409226653000,439
1409226662000,439
1409226674000,438
1409226682000,438
1409226693000,438
1409226701000,442
1409226713000,441
1409226722000,441
1409226732000,444
1409226744000,441
1409226753000,441
1409226765000,442
1409226785000,443
1409226793000,441
1409226801000,439
1409226814000,439
1409226824000,444
1409226831000,440
1409226842000,440
1409226850000,439
1409226864000,442
1409226872000,442
1409226881000,439
1409226890000,437
1409226911000,439
1409226922000,438
1409226932000,438
1409226941000,438
1409226954000,441
1409226960000,441
1409226973000,442
1409226980000,442
1409226993000,442
1409227001000,441
1409227011000,440
1409227021000,440
1409227043000,440
1409227060000,436
1409227072000,437
1409227083000,437
1409227093000,438
1409227103000,441
1409227113000,441
1409227122000,438
1409227132000,439
1409227142000,439
1409227154000,438
1409227160000,440
1409227175000,440
1409227181000,440
1409227193000,439
1409227203000,439
1409227211000,440
1409227233000,441
1409227251000,441
1409227264000,441
1409227274000,440
1409227284000,438
1409227291000,438
1409227303000,438
1409227313000,435
1409227322000,435
1409227333000,436
1409227345000,436
1409227351000,436
1409227364000,437
1409227371000,439
1409227382000,439
1409227404000,438
1409227414000,438
1409227424000,437
1409227442000,440
1409227453000,445
1409227462000,451
1409227472000,451
1409227484000,450
1409227496000,450
1409227501000,450
1409227514000,451
1409227522000,452
1409227532000,452
1409227543000,635
1409227552000,639
1409227573000,628
1409227583000,616
1409227592000,616
1409227603000,606
1409227612000,605
1409227623000,605
1409227634000,601
1409227642000,600
1409227652000,600
1409227663000,600
1409227672000,601
1409227685000,601
1409227692000,601
1409227703000,602
1409227712000,602
1409227722000,603
1409227735000,602
1409227743000,602
1409227762000,609
1409227774000,609
1409227782000,607
1409227793000,605
1409227802000,605
1409227812000,599
1409227823000,603
1409227830000,603
1409227844000,602
1409227851000,599
1409227861000,599
1409227871000,598
1409227881000,599
1409227892000,599
1409227912000,599
1409227931000,597
1409227951000,596
1409227961000,600
1409227972000,628
1409227982000,628
1409227991000,607
1409228005000,603
1409228011000,603
1409228023000,606
1409228034000,605
1409228042000,605
1409228051000,606
1409228063000,604
1409228082000,603
1409228101000,605
1409228111000,604
1409228122000,606
1409228142000,606
1409228152000,606
1409228161000,606
1409228173000,602
1409228181000,604
1409228191000,604
1409228201000,605
1409228214000,601
1409228225000,601
1409228233000,600
1409228244000,600
1409228252000,600
1409228264000,601
1409228272000,601
1409228283000,601
1409228291000,603
1409228303000,598
1409228311000,598
1409228323000,600
1409228333000,602
1409228347000,602
1409228362000,599
1409228381000,596
1409228390000,596
1409228403000,596
1409228412000,597
1409228423000,599
1409228435000,599
1409228442000,601
1409228456000,597
1409228462000,597
1409228470000,595
1409228482000,598
1409228493000,598
1409228511000,598
1409228521000,598
1409228533000,597
1409228541000,597
1409228553000,597
1409228562000,594
1409228573000,596
1409228582000,596
1409228594000,598
1409228604000,597
